-0.15426,-0.24647,-1.1684
-0.36682,-0.13829,-1.1114
-0.31325,-0.39482,-1.0229
0.07866,-0.091263,-1.2235
0.068283,-0.32561,-1.1472
0.29362,-0.24356,-1.1182
-0.15146,0.00924,-1.217
-0.34552,0.1246,-1.1271
0.067295,0.16781,-1.2095
0.29998,0.0093917,-1.164
-0.13274,0.28107,-1.1587
0.26684,0.25657,-1.1254
-0.080638,-0.48737,-1.032
-0.44585,-0.4987,-0.82599
-0.22393,-0.60916,-0.85537
0.19504,-0.48246,-1.0073
0.04104,-0.64237,-0.86294
0.42944,-0.37982,-0.95174
0.30755,-0.59766,-0.82107
0.53159,-0.48281,-0.74424
-0.54551,-0.018014,-0.9817
-0.68403,-0.10482,-0.78941
-0.52247,-0.27045,-0.93434
0.49032,-0.11561,-1.0231
0.61761,-0.2355,-0.83795
-0.50983,0.21945,-0.97191
-0.66392,0.16684,-0.80154
0.47781,0.15029,-1.0258
0.64072,0.032659,-0.86592
-0.33708,0.38034,-1.019
-0.52033,0.42014,-0.82623
-0.12625,0.4933,-1.018
0.10091,0.43158,-1.0745
0.37963,0.40107,-0.97489
0.59336,0.28855,-0.83971
-0.30516,0.58285,-0.84248
-0.019265,0.63395,-0.87597
0.22384,0.5786,-0.89445
0.48235,0.5076,-0.77567
0.15486,-0.74567,-0.65794
-0.10668,-0.75099,-0.66454
-0.0015194,-0.83962,-0.44467
0.25478,-0.8026,-0.43589
-0.55152,-0.55917,-0.60298
-0.70359,-0.44894,-0.46205
-0.52439,-0.67554,-0.38481
-0.35683,-0.68522,-0.63338
0.41139,-0.67037,-0.60015
0.62469,-0.5359,-0.49957
-0.64339,-0.35045,-0.71711
0.75292,-0.069102,-0.66977
0.7028,-0.33181,-0.62265
0.81637,-0.17132,-0.46367
-0.77874,0.05801,-0.61385
-0.85567,-0.026491,-0.38107
-0.77695,-0.20542,-0.55584
0.74263,0.17795,-0.65341
0.84294,0.0638,-0.42379
-0.80451,0.23635,-0.44859
-0.69224,0.34557,-0.63076
0.66099,0.41884,-0.60994
0.79661,0.28783,-0.41747
-0.53372,0.55823,-0.63393
-0.12671,0.74227,-0.67625
-0.34287,0.69331,-0.63134
0.12714,0.7408,-0.67914
0.3388,0.66997,-0.68095
0.51968,0.62689,-0.52592
0.68674,0.51698,-0.36598
-0.23357,0.81323,-0.4209
0.021103,0.8304,-0.47528
0.30215,0.7822,-0.44851
-0.26423,-0.79823,-0.44034
-0.3614,-0.80879,-0.21818
-0.12105,-0.87849,-0.21091
0.12395,-0.8789,-0.20448
0.35013,-0.81569,-0.20401
-0.71662,-0.51835,-0.22879
-0.57792,-0.6843,-0.12112
0.50123,-0.69991,-0.36021
0.6836,-0.56064,-0.23125
0.77676,-0.37307,-0.35641
0.82801,-0.34288,-0.1138
-0.82576,-0.27931,-0.30721
-0.89,-0.098494,-0.12461
-0.83123,-0.34264,-0.056614
0.8757,-0.12317,-0.22964
-0.87624,0.14701,-0.19711
0.88263,0.13093,-0.16151
-0.79388,0.3764,-0.26786
-0.67142,0.51462,-0.42146
0.81402,0.35768,-0.1915
-0.46196,0.7101,-0.41696
-0.56842,0.67681,-0.23314
0.5212,0.70359,-0.28563
0.69485,0.56605,-0.11336
