279,260,280
260,256,276
280,260,276
258,261,262
278,277,281
258,262,281
281,262,282
263,264,283
283,264,284
264,259,279
284,264,279
262,265,285
282,262,285
265,263,283
285,265,283
266,286,287
267,266,287
267,287,288
268,267,288
269,289,290
270,269,290
270,290,266
266,290,286
268,288,271
271,288,291
271,291,292
275,271,292
273,297,294
274,273,294
274,294,269
269,294,289
272,271,275
296,292,295
275,292,296
276,275,296
273,277,278
293,294,297
273,278,297
297,278,298
279,280,299
299,280,300
280,276,296
300,280,296
278,281,301
298,278,301
281,282,301
301,282,302
283,284,303
303,284,304
284,279,299
304,284,299
282,285,305
302,282,305
285,283,303
305,285,303
286,306,307
287,286,307
287,307,308
288,287,308
289,314,310
290,289,310
290,310,286
286,310,306
288,308,291
291,308,311
291,311,312
292,291,312
293,313,314
289,293,314
294,293,289
310,314,309
292,312,295
295,312,315
295,315,316
300,295,316
293,297,317
313,293,317
297,298,317
317,298,318
299,300,319
319,300,316
300,296,295
320,319,316
298,301,321
318,298,321
301,302,321
321,302,322
303,304,323
323,304,324
304,299,319
324,304,319
302,305,325
322,302,325
305,303,323
325,305,323
306,330,327
307,306,327
307,327,328
308,307,328
309,329,330
306,309,330
310,309,306
327,330,326
308,328,311
311,328,331
311,331,332
312,311,332
313,333,334
314,313,334
314,334,309
309,334,329
312,332,315
315,332,335
315,335,336
316,315,336
313,317,337
333,313,337
317,318,337
337,318,338
324,320,339
339,320,340
320,316,336
340,320,336
318,321,341
338,318,341
321,322,341
341,322,342
323,324,343
343,324,339
324,319,320
344,343,339
322,325,345
342,322,345
325,323,343
345,325,343
326,346,347
348,326,347
327,326,348
328,327,348
329,349,350
330,329,350
330,350,326
326,350,346
328,348,331
331,348,351
331,351,352
332,331,352
333,353,354
334,333,354
334,354,329
329,354,349
332,352,335
335,352,355
335,355,356
336,335,356
333,337,357
353,333,357
337,338,357
357,338,358
339,340,359
359,340,360
340,336,356
360,340,356
338,341,361
358,338,361
341,342,361
361,342,365
345,344,363
363,344,364
344,339,359
364,344,359
342,345,363
362,361,365
345,343,344
365,342,363
346,366,367
347,346,367
347,367,368
351,347,368
349,369,370
350,349,370
350,370,346
346,370,366
348,347,351
372,368,371
351,368,372
352,351,372
353,373,374
354,353,374
354,374,349
349,374,369
352,372,355
355,372,375
355,375,376
356,355,376
353,357,377
373,353,377
357,358,377
377,358,381
359,360,379
379,360,380
360,356,376
380,360,376
358,361,362
378,377,381
358,362,381
381,362,382
363,364,383
383,364,384
364,359,379
384,364,379
362,365,385
382,362,385
365,363,383
385,365,383
366,386,387
367,366,387
367,387,388
368,367,388
369,389,390
370,369,390
370,390,366
366,390,386
368,388,371
371,388,391
371,391,392
375,371,392
373,397,394
374,373,394
374,394,369
369,394,389
372,371,375
396,392,395
375,392,396
376,375,396
373,377,378
393,394,397
373,378,397
397,378,398
379,380,399
399,380,400
380,376,396
400,380,396
378,381,401
398,378,401
381,382,401
401,382,402
383,384,403
403,384,404
384,379,399
404,384,399
382,385,405
402,382,405
385,383,403
405,385,403
386,406,407
387,386,407
387,407,408
388,387,408
389,414,410
390,389,410
390,410,386
386,410,406
388,408,391
391,408,411
391,411,412
392,391,412
393,413,414
389,393,414
394,393,389
410,414,409
392,412,395
395,412,415
395,415,416
400,395,416
393,397,417
413,393,417
397,398,417
417,398,418
399,400,419
419,400,416
400,396,395
420,419,416
398,401,421
418,398,421
401,402,421
421,402,422
403,404,423
423,404,424
404,399,419
424,404,419
402,405,425
422,402,425
405,403,423
425,405,423
406,430,427
407,406,427
407,427,428
408,407,428
409,429,430
406,409,430
410,409,406
427,430,426
408,428,411
411,428,431
411,431,432
412,411,432
413,433,434
414,413,434
414,434,409
409,434,429
412,432,415
415,432,435
415,435,436
416,415,436
413,417,437
433,413,437
417,418,437
437,418,438
424,420,439
439,420,440
420,416,436
440,420,436
418,421,441
438,418,441
421,422,441
441,422,442
423,424,443
443,424,439
424,419,420
444,443,439
422,425,445
442,422,445
425,423,443
445,425,443
426,446,447
448,426,447
427,426,448
428,427,448
429,449,450
430,429,450
430,450,426
426,450,446
428,448,431
431,448,451
431,451,452
432,431,452
433,453,454
434,433,454
434,454,429
429,454,449
432,452,435
435,452,455
435,455,456
436,435,456
433,437,457
453,433,457
437,438,457
457,438,458
439,440,459
459,440,460
440,436,456
460,440,456
438,441,461
458,438,461
441,442,461
461,442,465
445,444,463
463,444,464
444,439,459
464,444,459
442,445,463
462,461,465
445,443,444
465,442,463
446,466,467
447,446,467
447,467,468
451,447,468
449,469,470
450,449,470
450,470,446
446,470,466
448,447,451
472,468,471
451,468,472
452,451,472
453,473,474
454,453,474
454,474,449
449,474,469
452,472,455
455,472,475
455,475,476
456,455,476
453,457,477
473,453,477
457,458,477
477,458,481
459,460,479
479,460,480
460,456,476
480,460,476
458,461,462
478,477,481
458,462,481
481,462,482
463,464,483
483,464,484
464,459,479
484,464,479
462,465,485
482,462,485
465,463,483
485,465,483
466,486,487
467,466,487
467,487,488
468,467,488
469,489,490
470,469,490
470,490,466
466,490,486
468,488,471
471,488,491
471,491,492
475,471,492
473,497,494
474,473,494
474,494,469
469,494,489
472,471,475
496,492,495
475,492,496
476,475,496
473,477,478
493,494,497
473,478,497
497,478,498
479,480,499
499,480,500
480,476,496
500,480,496
478,481,501
498,478,501
481,482,501
501,482,502
483,484,503
503,484,504
484,479,499
504,484,499
482,485,505
502,482,505
485,483,503
505,485,503
486,506,507
487,486,507
487,507,508
488,487,508
489,514,510
490,489,510
490,510,486
486,510,506
488,508,491
491,508,511
491,511,512
492,491,512
493,513,514
489,493,514
494,493,489
510,514,509
492,512,495
495,512,515
495,515,516
500,495,516
493,497,517
513,493,517
497,498,517
517,498,518
499,500,519
519,500,516
500,496,495
520,519,516
498,501,521
518,498,521
501,502,521
521,502,522
503,504,523
523,504,524
504,499,519
524,504,519
502,505,525
522,502,525
505,503,523
525,505,523
506,530,527
507,506,527
507,527,528
508,507,528
509,529,530
506,509,530
510,509,506
527,530,526
508,528,511
511,528,531
511,531,532
512,511,532
513,533,534
514,513,534
514,534,509
509,534,529
512,532,515
515,532,535
515,535,536
516,515,536
513,517,537
533,513,537
517,518,537
537,518,538
524,520,539
539,520,540
520,516,536
540,520,536
518,521,541
538,518,541
521,522,541
541,522,542
523,524,543
543,524,539
524,519,520
544,543,539
522,525,545
542,522,545
525,523,543
545,525,543
526,546,547
548,526,547
527,526,548
528,527,548
529,549,550
530,529,550
530,550,526
526,550,546
528,548,531
531,548,551
531,551,552
532,531,552
533,553,554
534,533,554
534,554,529
529,554,549
532,552,535
535,552,555
535,555,556
536,535,556
533,537,557
553,533,557
537,538,557
557,538,558
539,540,559
559,540,560
540,536,556
560,540,556
538,541,561
558,538,561
541,542,561
561,542,565
545,544,563
563,544,564
544,539,559
564,544,559
542,545,563
562,561,565
545,543,544
565,542,563
546,566,567
547,546,567
547,567,568
551,547,568
549,569,570
550,549,570
550,570,546
546,570,566
548,547,551
572,568,571
551,568,572
552,551,572
553,573,574
554,553,574
554,574,549
549,574,569
552,572,555
555,572,575
555,575,576
556,555,576
553,557,577
573,553,577
557,558,577
577,558,581
559,560,579
579,560,580
560,556,576
580,560,576
558,561,562
578,577,581
558,562,581
581,562,582
563,564,583
583,564,584
564,559,579
584,564,579
562,565,585
582,562,585
565,563,583
585,565,583
566,586,587
567,566,587
567,587,588
568,567,588
569,589,590
570,569,590
570,590,566
566,590,586
568,588,571
571,588,591
571,591,592
575,571,592
573,597,594
574,573,594
574,594,569
569,594,589
572,571,575
596,592,595
575,592,596
576,575,596
573,577,578
593,594,597
573,578,597
597,578,598
579,580,599
599,580,600
580,576,596
600,580,596
578,581,601
598,578,601
581,582,601
601,582,602
583,584,603
603,584,604
584,579,599
604,584,599
582,585,605
602,582,605
585,583,603
605,585,603
586,606,607
587,586,607
587,607,608
588,587,608
589,614,610
590,589,610
590,610,586
586,610,606
588,608,591
591,608,611
591,611,612
592,591,612
593,613,614
589,593,614
594,593,589
610,614,609
592,612,595
595,612,615
595,615,616
600,595,616
593,597,617
613,593,617
597,598,617
617,598,618
599,600,619
619,600,616
600,596,595
620,619,616
598,601,621
618,598,621
601,602,621
621,602,622
603,604,623
623,604,624
604,599,619
624,604,619
602,605,625
622,602,625
605,603,623
625,605,623
606,630,627
607,606,627
607,627,628
608,607,628
609,629,630
606,609,630
610,609,606
627,630,626
608,628,611
611,628,631
611,631,632
612,611,632
613,633,634
614,613,634
614,634,609
609,634,629
612,632,615
615,632,635
615,635,636
616,615,636
613,617,637
633,613,637
617,618,637
637,618,638
624,620,639
639,620,640
620,616,636
640,620,636
618,621,641
638,618,641
621,622,641
641,622,642
623,624,643
643,624,639
624,619,620
644,643,639
622,625,645
642,622,645
625,623,643
645,625,643
626,646,647
648,626,647
627,626,648
628,627,648
629,649,650
630,629,650
630,650,626
626,650,646
628,648,631
631,648,651
631,651,652
632,631,652
633,653,654
634,633,654
634,654,629
629,654,649
632,652,635
635,652,655
635,655,656
636,635,656
633,637,657
653,633,657
637,638,657
657,638,658
639,640,659
659,640,660
640,636,656
660,640,656
638,641,661
658,638,661
641,642,661
661,642,665
645,644,663
663,644,664
644,639,659
664,644,659
642,645,663
662,661,665
645,643,644
665,642,663
646,666,667
647,646,667
647,667,668
651,647,668
649,669,670
650,649,670
650,670,646
646,670,666
648,647,651
672,668,671
651,668,672
652,651,672
653,673,674
654,653,674
654,674,649
649,674,669
652,672,655
655,672,675
655,675,676
656,655,676
653,657,677
673,653,677
657,658,677
677,658,678
659,660,679
679,660,680
660,656,676
680,660,676
658,661,681
678,658,681
661,662,681
681,662,682
663,664,683
683,664,684
664,659,679
684,664,679
662,665,685
682,662,685
665,663,683
685,665,683
666,686,687
667,666,687
667,687,688
668,667,688
669,689,690
670,669,690
670,690,666
666,690,686
668,688,671
671,688,691
671,691,692
675,671,692
673,693,694
674,673,694
674,694,669
669,694,689
672,671,675
696,692,695
675,692,696
676,675,696
673,677,697
693,673,697
677,678,697
697,678,698
679,680,699
699,680,700
680,676,696
700,680,696
678,681,701
698,678,701
681,682,701
701,682,702
683,684,703
703,684,704
684,679,699
704,684,699
682,685,705
702,682,705
685,683,703
705,685,703
686,706,707
687,686,707
687,707,708
688,687,708
689,709,710
690,689,710
690,710,686
686,710,706
688,708,691
691,708,711
691,711,712
692,691,712
693,713,714
694,693,714
694,714,689
689,714,709
692,712,695
695,712,715
695,715,716
700,695,716
693,697,717
713,693,717
697,698,717
717,698,718
699,700,719
719,700,716
700,696,695
720,719,716
698,701,721
718,698,721
701,702,721
721,702,722
703,704,723
723,704,724
704,699,719
724,704,719
702,705,725
722,702,725
705,703,723
725,705,723
707,706,727
727,706,726
707,727,728
708,707,728
709,729,730
710,709,730
706,730,726
706,710,730
708,728,711
732,728,731
711,728,732
712,711,732
713,733,734
714,713,734
714,734,709
709,734,729
715,732,735
715,712,732
715,735,736
716,715,736
713,717,737
733,713,737
717,718,737
737,718,738
739,720,740
739,724,720
720,716,736
740,720,736
718,721,741
738,718,741
741,722,742
741,721,722
723,724,743
743,724,739
724,719,720
744,743,739
742,722,745
745,722,725
725,723,743
745,725,743
726,746,747
727,726,747
727,747,731
731,747,748
729,749,750
730,729,750
726,750,746
726,730,750
752,748,751
731,728,727
731,748,752
732,731,752
733,753,754
734,733,754
729,754,749
729,734,754
735,752,755
735,732,752
735,755,756
736,735,756
733,737,757
753,733,757
757,738,761
757,737,738
759,740,760
759,739,740
740,736,756
760,740,756
738,741,761
758,757,761
761,742,762
761,741,742
763,744,759
763,765,744
744,739,759
764,763,759
742,745,765
762,742,765
745,743,744
765,745,744
746,766,747
747,766,748
749,767,768
750,749,768
766,746,769
746,750,768
746,768,769
770,766,769
770,748,766
751,748,770
751,770,771
755,751,771
753,772,754
767,772,773
767,749,772
749,754,772
775,771,774
755,752,751
755,771,775
755,775,756
753,757,758
753,758,776
773,772,776
772,753,776
777,760,775
774,777,775
777,764,760
760,756,775
758,761,762
776,758,778
778,762,779
780,778,779
778,758,762
763,764,781
780,779,781
779,763,781
764,759,760
790,764,777
762,765,779
765,763,779
767,782,768
769,782,783
769,768,782
770,783,784
770,769,783
770,784,771
773,785,782
767,773,782
783,785,786
783,782,785
784,783,786
787,784,786
774,771,784
787,774,784
776,788,773
773,788,785
786,785,789
789,785,788
787,786,789
790,787,789
790,777,787
787,777,774
776,778,788
778,780,788
788,780,789
780,781,790
789,780,790
781,764,790
